200,002203969190104H,383270
200,0024379593904732,3158092
200,002186937490177X,552230
200,0012365X84900281,105193
200,0022314X73900723,234751
200,0012365X9190120Q,672171
200,0014579371801175,312230
200,0022314X82900634,2027408
200,0022247X69900080,575168
200,0022247X9190183Z,219401
200,0022000091900309,1385059
200,0024379588903084,111628
200,002203969190108L,366780
200,0022460X80907166,54156
200,0022247X8290035X,1163293
200,002240499290095W,500924
200,0024379594904731,792723
200,0012365X81902028,1113950
200,0021904576900691,313475
200,0022247X9290370S,173771
200,0012365X89901453,157263
200,0007122680901149,69011
200,0012365X9090372O,462976
200,0005279574900208,13647
200,0021869381902349,1060213
200,0014579371806683,16359
200,002186937990139X,926238
200,0014579372802606,223293
200,0005273685902822,12946
200,000888468090068X,10317
200,0022039688901374,1089328
200,0022247X68900218,343967
200,0038109874901586,11897
200,0022247X67901291,155830
200,0017931088901494,120698
200,0012365X78901152,435755
200,002437958290009X,413590
200,0022123674900135,403080
200,0021869364900171,1060235
200,0014579370802514,175919
200,0025322775900304,19023
200,0022247X72902077,420320
200,002186939090246K,1720930
200,0012365X9390283Y,261399
200,0024379576900513,179794
200,0022123682900076,336621
200,0022314X73900644,293765
200,0012365X85901529,438446
200,0022247X74902807,590112
200,0022247X79902907,508452
200,002212369090059T,294615
200,0016703765901262,21821
200,0014579372803612,138014
200,0012365X93E0058C,357364
200,002186939190235Z,1572613
200,0003986163905629,47710
200,0022123678900459,837976
200,0022314X90900948,173521
200,0012821X87901002,12967
200,002532279290176I,13664
200,0019103582901063,13037
200,002190457090064X,552377
200,0029549379901870,23770
200,0021869377902538,1765122
200,002190458990110X,237765
200,002186938890035X,169450
200,0024379589903807,281540
200,0028390885901467,17601
200,0035920386901513,46937
200,0021904586900110,450929
200,0021869373900197,540668
200,0024379590901394,472673
200,0021869386901778,504370
200,0012365X82901200,579815
200,0025326X83904526,77188
200,0004370270900135,18464
200,0020740378900942,44706
200,0022169479901562,10482
200,0022000088900281,1341242
200,0022249676900316,16540
200,0014579372805921,268400
200,002203969290041K,581014
200,0022247X79901926,362801
200,0012365X74901551,463865
200,0014579373806490,926064
200,0012365X76900947,821383
200,0022247X73902229,976
200,0012365X8690213X,601346
200,002437959290352B,296820
200,0022314X78900367,1592785
200,0002941686900631,273365
200,0022191084900568,34787
200,0022123672900092,386267
200,002240499090095Y,688177
200,002437958390174X,666023
200,0022000086900280,1342479
200,0022039670900409,2018364
200,0014579372802035,247672
200,0022123686900224,1396445
200,0022508880903343,62939
200,0021869386900517,1128897
200,002200007890048X,753099
200,0022123670900388,887874
200,0001870883900531,2214816
200,0001870874900310,518288
200,0024379582900052,1011804
200,0001870876900396,20717
200,002437959390025J,369036
200,0024379586902168,1180090
200,0022247X80902334,538626
200,0001870879900409,948190
200,0022247X89901637,359939
200,0022247X84902944,522815
200,0022404985900805,731908
200,0021869373900501,1985495
200,0012365X74901307,359249
200,0022123680900592,788854
200,0014579371804209,172841
200,0022039688900381,324170
200,0006899374909056,11210
200,0022404986900058,738927
200,0022285284900973,310857
200,0016003254910522,75945
200,0022247X66901582,942601
200,0011747171901215,11566
200,0022247X76902250,448257
200,0029558262907897,63061
200,0021869383901102,1556689
200,0012365X80900321,786202
200,0022247X69901176,241662
200,0012365X83901838,186628
200,002186937490132X,180296
200,0022247X75900037,177713
200,002228369190600B,15161
200,0001870876902000,1567682
200,0021869378902363,471840
200,002186939090050X,1072002
200,0022314X89900176,332733
200,0014579369800220,244165
200,002212369290091V,974442
200,0024379585900977,630758
200,0014579369800700,418109
200,0021869375900435,547097
200,0012365X84901080,139988
200,0022247X73902758,400005
200,0024379576900501,232838
200,0022407377900796,12685
200,0022039679900573,705705
200,0022247X7490047X,1224342
200,0021904587901146,417584
200,0009898181901601,13144
200,0014579371803794,281818
200,0006899384905353,8364
200,002437958690282X,557978
200,0024379581900926,642465
200,0022247X83902524,359616
200,001910358890022X,11002
200,0014579370802642,128968
200,0012160672900875,12722
200,0022123677900088,1428684
200,0012365X7490079X,268320
200,0021869379903168,712516
200,0001870876901134,915005
200,0022283681904873,19960
200,0003986154902623,65120
200,002186938090229X,248561
200,0022311583900922,20611
200,0022460X71907176,29666
200,0014579371802181,453180
200,0024379574900470,56685
200,0022247X75900025,302264
200,0022404985900532,1070237
200,0008874976900460,32236
200,0022404990900983,883304
200,002437959290249A,427332
200,001457937280067X,154364
200,0022247X83901737,360708
200,0020179074900110,12069
200,0014579373801061,209516
200,0022247X8090116X,626477
200,0021869380902458,577173
200,002432057490335X,6723
200,0021869373901191,253977
200,0012365X74901459,734654
200,0014579371806865,214901
200,0022510X68901366,81179
200,0022285267900616,15793
200,0022247X79901604,212144
200,0024379580902165,563141
200,0003269772900401,15710
200,0024379579901770,375579
200,000187088990042X,471545
200,0022247X87900916,311325
